YEAR,ADLT_MOR,ALCO,HEPT-B,BMI,POLIO,TOT_EXPD,DIPTR,HIV/AIDS,POPLN,THIN_1_19,THIN_5_9,ICOR,SCH,LIFE_EXP
2012,294,0.01,84,22.6,84,5.11,84,1.7,6859482,7,6.8,0.464,12,58.9
2009,433,3.97,84,21.2,81,13.13,84,1.7,63126,8.5,8.4,0.375,8.5,47.1
2010,261,1.34,62,15.6,69,6.86,61,1.7,877267,11,1.7,0.401,8.1,61.8
2007,293,4.58,89,15.1,93,6.63,89,1.7,1425221,9.8,9.3,0.334,4.9,55.3
2007,282,0.55,74,19,76,6.97,74,1.7,1367566,9.4,9.3,0.363,6.4,55
2010,424,3.84,86,21.7,84,1.32,86,1.6,645872,8.3,8.2,0.384,8.7,48.1
2004,224,5.78,7,22.8,99,9.94,96,1.6,151969,7.2,7.2,0.509,9.8,63.8
2005,222,5.27,96,23.4,97,1.4,97,1.6,15563,7,7,0.514,10,64.3
2001,171,2.74,95,39.6,99,6.88,96,1.6,669361,2.7,2.7,0.557,9.9,71.3
2013,275,0.01,69,22.5,7,6.58,69,1.6,16477818,8.1,7.9,0.421,8,57.3
2014,272,0.01,73,23.2,74,6.86,73,1.6,16962846,7.9,7.7,0.43,8.2,57.8
2009,259,1.16,79,22.5,8,4.46,79,1.6,894476,7.9,7.8,0.448,9.3,58.4
2007,164,6.05,81,5.4,86,4.34,85,1.6,954353,3.4,3.4,0.685,12.7,72.9
2009,276,0.59,71,2.2,77,6.85,73,1.6,1466597,9,8.8,0.385,7.1,56
2003,225,6.54,43,22.2,94,11.12,94,1.6,148372,7.4,7.4,0.504,9.7,63.4
2008,278,0.57,74,19.6,74,6.74,74,1.6,14138216,9.2,9,0.36,5.8,55.5
2011,321,4.16,96,16.6,95,8.58,96,1.5,94358,7.6,7.6,0.385,9.9,57.4
2010,273,0.6,72,2.7,77,6.35,73,1.5,157585,8.8,8.5,0.396,7.3,56.5
2005,37,0.84,63,41.1,61,6.42,72,1.5,631479,1.4,1.4,0.446,7.9,64
2013,287,0.01,84,23.1,84,5.12,84,1.5,742948,6.8,6.6,0.47,12,59.4
2011,266,3.72,77,25,77,11.23,77,1.5,47167,7.2,7,0.406,9.5,62
2012,27,0.01,66,21.9,72,6.47,66,1.5,16667,8.3,8.1,0.411,7.7,57.2
2011,271,0.61,66,21.3,72,6.59,66,1.5,1554989,8.5,8.3,0.404,7.5,56.8
2008,288,4.5,93,15.6,92,6.77,93,1.5,14689726,9.5,9.1,0.345,5.4,56.1
2006,299,0.64,71,41.9,67,5.92,72,1.5,647272,1.4,1.4,0.454,8.2,68
2002,169,3.09,94,4.4,95,7.28,95,1.5,6863157,2.7,2.6,0.561,10.1,71.6
2004,314,0.58,6,4.4,59,8.39,62,1.5,6161517,1.5,1.4,0.439,7.6,59.9
2006,15,3.63,97,47.2,99,4.22,95,1.5,276279,1.9,1.7,0.709,12.5,74
2003,21,5.67,96,42.6,95,4.53,96,1.5,26913,3.6,3.6,0.684,12.2,68.4
2006,336,0.97,94,14.3,94,3.3,94,1.4,466648,9.3,9.3,0.405,5.3,59.7
2008,161,6.12,81,51.5,86,4.2,82,1.4,963652,3.4,3.3,0.692,12.8,73.3
2011,249,1.32,65,16,7,6.55,65,1.4,946756,1.9,1.6,0.411,8.2,62.6
2007,295,0.71,61,42.7,72,4.4,71,1.4,6627922,1.4,1.3,0.461,8.6,61.1
2010,254,1.33,76,23,77,4.95,76,1.4,9199259,7.8,7.6,0.451,9.5,58.7
2011,251,1.4,75,23.5,77,5.37,75,1.4,94682,7.6,7.5,0.454,9.8,59.1
2002,327,0.61,6,38.9,54,7.69,61,1.4,5862316,1.5,1.5,0.428,6.9,59.3
2003,321,0.59,67,39.6,62,6.79,68,1.4,61724,1.5,1.4,0.433,7.2,59.6
2003,166,3.04,91,41.2,92,8.29,92,1.4,733821,2.6,2.5,0.566,10.3,71.9
2007,219,0.02,74,25.5,75,3.54,75,1.3,3312665,9.4,9.1,0.475,7.4,61.2
2011,247,8.34,97,18.9,93,7.71,97,1.3,151671,6.3,6.2,0.464,10.2,63.8
2012,251,0.01,8,24.1,8,4.86,8,1.3,972916,7.4,7.3,0.458,10,59.3
2007,329,1.23,91,14.7,91,3.29,91,1.3,4153332,9.2,9.2,0.405,5.3,62
2011,418,3.78,89,22.2,88,11.98,89,1.3,6611692,8.1,8,0.392,8.9,48.9
2005,223,0.01,42,24.2,71,4.21,71,1.3,31372,9.8,9.6,0.461,7.2,66
2006,221,0.01,68,24.8,68,3.21,68,1.3,322653,9.6,9.4,0.466,7.2,69
2008,217,0.02,74,26.1,73,3.23,74,1.3,347541,9.2,8.9,0.475,7.2,61.4
2001,331,0.68,59,38.2,52,6.68,55,1.3,5716152,1.5,1.5,0.422,6.6,59.1
2008,29,0.81,59,43.4,76,4.6,63,1.3,6787187,1.4,1.3,0.469,8.9,61.4
2011,263,1.64,91,26.1,91,4.81,91,1.3,25121796,6.9,6.8,0.554,10.9,61.2
2010,214,0.01,64,27.4,52,3.28,64,1.2,369543,8.7,8.5,0.484,7.6,62
2009,215,0.01,64,26.8,63,3.79,64,1.2,356288,8.9,8.7,0.476,7.1,61.7
2012,312,0.01,96,17.1,96,8.21,96,1.2,931971,7.5,7.5,0.393,10.3,58
2006,22,5.46,75,24,97,7.84,97,1.2,159328,6.9,6.8,0.521,10.2,64.7
2012,261,0.01,8,25.6,8,1.19,8,1.2,4181563,7,6.9,0.416,9.6,67
2007,217,4.14,87,24.7,98,7.44,97,1.2,16311,6.7,6.6,0.527,10.3,65.1
2012,29,0.01,8,28.8,8,3.36,8,1.2,383239,8.3,8.1,0.491,7.8,62.5
2011,212,0.01,75,28.1,73,2.87,75,1.2,3717672,8.5,8.3,0.487,7.7,62.2
2012,241,1.84,69,16.4,7,5.77,69,1.2,92444183,1.7,1.5,0.422,8.4,63.3
2013,251,0.01,77,24.6,73,4.59,77,1.2,14451,7.2,7.1,0.466,10.3,59.5
2004,165,3.02,93,42,94,7.89,94,1.2,724153,2.6,2.5,0.571,10.4,72.2
2009,157,6.05,8,52.6,85,4.41,82,1.2,9767758,3.4,3.3,0.695,12.9,73.6
2008,196,4.94,84,53.3,85,5.92,85,1.2,515148,3.5,3.4,0.691,11.9,69.8
2009,263,0.11,71,16.9,71,6.98,71,1.1,15813913,11,1.8,0.307,4.2,57.1
2013,28,0.01,8,29.4,8,3.63,8,1.1,394617,8.1,7.9,0.501,8.2,62.7
2008,322,0.49,94,15.1,94,3.69,94,1.1,4232636,9.1,9.1,0.406,5.2,67
2010,286,0.79,56,44.9,72,4.18,67,1.1,718239,1.4,1.3,0.485,9.6,61.8
2009,288,0.82,66,44.2,79,4.36,73,1.1,6947447,1.4,1.3,0.477,9.2,61.6
2013,258,0.01,76,26.1,75,9.25,76,1.1,4286291,6.8,6.7,0.419,9.8,61.1
2006,216,2.03,8,14.3,8,4.48,8,1.1,13474489,11.4,11.6,0.483,10.1,64.1
2000,335,0.73,57,37.5,51,3.98,59,1.1,5572222,1.6,1.5,0.418,6.2,58.9
2009,283,4.55,92,16.1,91,7.41,92,1.1,1514199,9.3,8.8,0.356,5.9,56.9
2014,252,0.01,78,25.2,74,4.59,78,1.1,1286712,7.1,6.9,0.475,10.7,59.7
2006,24,7.04,93,39.6,92,4.67,93,1.1,74961,5.7,5.5,0.622,11.7,65.2
2009,311,0.63,92,15.5,92,3.3,92,1,431334,9,8.9,0.402,5.2,61.4
2014,285,0.01,87,23.7,85,5.25,87,1,7228915,6.6,6.4,0.475,12,59.7
2013,284,0.01,63,22.2,63,5.49,63,1,11536615,7.7,7.6,0.406,8.5,58.8
2004,19,5.82,94,36.8,94,5.22,94,1,129535,6.3,6.8,0.736,12.2,69.4
2011,285,0.88,66,45.7,69,4.94,72,1,7269348,1.3,1.3,0.494,9.9,62
2012,284,0.01,68,46.4,81,4.55,74,1,743836,1.3,1.3,0.501,9.9,62.2
2013,33,0.01,96,17.6,96,8.3,96,1,96186,7.4,7.4,0.398,10.5,58.6
2010,279,4.55,91,16.6,9,7.17,91,1,1565217,9,8.6,0.365,6.3,57.5
2004,267,6.79,98,56.1,99,6.61,99,1,474516,2.7,2.8,0.7,14.6,67.4
2010,252,0.12,7,17.3,75,6.36,7,0.9,16425578,1.7,1.6,0.312,4.5,58.2
2013,237,1.86,72,16.8,7,5.19,72,0.9,94887724,1.6,1.4,0.427,8.4,63.7
2009,21,4.13,98,26.2,99,6.65,98,0.9,17813,6.3,6.2,0.533,10.1,65.8
2010,298,0.61,9,16,9,3.24,9,0.9,43984,8.9,8.8,0.404,5.1,62.1
2003,256,5.92,77,55.7,99,6.93,97,0.9,4781295,2.8,2.9,0.691,14.3,67.6
2007,148,3.64,92,48.1,94,4.87,92,0.9,2775467,1.9,1.7,0.714,12.5,74.2
2013,254,0.01,9,27.3,91,4.63,9,0.9,26346251,6.6,6.4,0.57,11.5,61.9
2014,329,0.01,5,26.7,49,1.4,5,0.9,439737,6.7,6.5,0.426,9.9,58.1
2012,411,0.01,91,22.7,91,11.24,91,0.9,676613,7.9,7.8,0.401,9.1,49.7
2007,24,2.08,82,14.8,82,3.75,82,0.9,13676693,11.3,11.5,0.495,10.3,65
2008,215,4.36,99,25.4,99,5.66,99,0.9,166913,6.5,6.4,0.531,10.4,65.4
2014,26,0.01,84,3.1,84,3.77,84,0.9,46392,8,7.7,0.509,8.5,63
2011,275,4.51,91,17.1,9,5.17,91,0.9,168194,8.8,8.4,0.377,6.7,58.1
2002,256,4.89,48,55.4,99,6.25,99,0.9,48225,2.9,3,0.683,13.9,67.6
2012,257,0.01,92,26.7,91,4.79,92,0.9,2573349,6.7,6.6,0.563,11.2,61.6
2005,163,3.23,97,42.8,98,7.81,98,0.9,737343,2.5,2.4,0.577,10.6,72.5
2003,144,4.16,66,23.2,93,5,92,0.9,46147,8.9,8.9,0.572,11.3,71.1
2005,278,7.31,97,56.4,95,6.41,96,0.9,471515,2.7,2.8,0.707,14.5,67
2010,166,6.02,83,53.6,85,4.6,88,0.9,9897985,3.3,3.3,0.697,12.9,72.7
2012,178,5.73,84,56.3,84,6.9,84,0.9,53777,3.5,3.4,0.708,12.7,71.3
2000,194,5.88,95,18.7,97,3.4,97,0.8,6295821,9.4,9.7,0.64,10.9,71.1
2013,47,0.01,92,23.3,92,11.59,92,0.8,692279,7.7,7.6,0.413,9.3,54
2005,134,4.26,93,24.3,95,4.86,95,0.8,474567,8.5,8.5,0.582,11.2,71.8
2001,253,4.31,7,55.1,99,5.66,99,0.8,48683865,2.9,3,0.673,13.2,67.7
2013,281,0.01,73,47.2,8,4.78,79,0.8,7592865,1.3,1.3,0.506,10,62.4
2006,267,7.99,96,56.8,99,6.39,98,0.8,4678775,2.6,2.7,0.716,14.7,67.7
2013,233,0.01,88,23.2,85,6.51,87,0.8,7415,6.8,6.6,0.49,10.9,62.9
2014,23,0.01,88,23.7,87,6.75,87,0.8,759385,6.8,6.6,0.497,11.1,63.2
2012,237,0.01,89,22.6,85,7.11,86,0.8,723868,6.9,6.7,0.484,10.8,62.5
2012,271,4.75,9,17.7,9,5.33,9,0.8,16571216,8.6,8.1,0.384,7.2,58.6
2014,253,0.01,98,28,93,3.56,98,0.8,26962563,6.4,6.3,0.576,11.7,62.1
2002,148,3.82,4,22.6,92,5.17,91,0.8,45216,9.2,9.1,0.569,11.3,77
2001,194,5.92,95,19.4,97,3.32,96,0.8,63543322,9.3,9.6,0.649,11.2,71.2
2006,161,3.23,94,43.5,94,7.63,95,0.8,754146,2.4,2.4,0.583,10.8,72.8
2004,14,4.19,91,23.7,94,5.6,93,0.8,467664,8.7,8.7,0.574,11.1,71.4
2004,197,6.2,97,43.2,97,4.39,97,0.8,27689,3.6,3.5,0.691,12.5,68.7
2005,191,6.25,96,43.8,96,4.45,96,0.8,283277,3.6,3.5,0.695,12.8,69
2008,218,7.32,93,4.9,93,7.46,93,0.8,746314,5.6,5.4,0.618,10.7,66.3
2007,22,4.72,84,52.6,84,5.92,84,0.8,5975,3.5,3.4,0.684,11.7,69.5
2000,257,4.49,4,54.8,99,5.59,99,0.7,49175848,3,3.1,0.669,13.3,67.5
2007,23,0.32,94,2.3,93,4.72,94,0.7,11873557,11,1.9,0.425,6.8,62.1
2012,239,0.01,98,19.5,98,7.68,98,0.7,1788853,6.1,6.1,0.475,10.5,64.6
2006,236,0.34,89,19.9,89,5.44,89,0.7,11556763,11.2,11.1,0.422,6.6,61.3
2011,286,0.62,96,16.5,96,3.6,96,0.7,447469,8.8,8.7,0.405,5,62.9
2002,192,5.93,95,2.2,97,3.7,96,0.7,6473164,9.2,9.5,0.657,11.5,71.4
2012,232,0.01,71,18.1,71,6.11,71,0.7,17731634,1.3,1.1,0.331,5.1,63
2011,241,0.15,75,17.7,4,6.66,75,0.7,1764636,1.5,1.3,0.323,4.8,59.4
2003,268,0.93,61,15,65,4.81,66,0.7,17279141,8.3,8.3,0.457,8.5,59.9
2014,297,0.01,95,18.2,95,7.54,95,0.7,989179,7.4,7.3,0.404,10.6,59.1
2007,277,8.86,92,57.2,98,6.36,98,0.7,465935,2.5,2.7,0.723,14.8,67.5
2002,271,0.9,51,14.7,61,5.29,62,0.7,16765117,8.5,8.4,0.462,8.3,59.3
2008,199,2.24,91,15.3,91,5.55,91,0.7,138859,11.2,11.4,0.511,10.5,65.6
2004,247,0.35,54,19.1,87,5.68,87,0.7,1955944,11.6,11.5,0.408,6.2,59.7
2013,27,4.64,88,18.2,89,5.91,88,0.7,1772723,8.4,7.9,0.392,7.5,59
2005,242,0.33,84,19.5,84,5.35,84,0.7,11251266,11.4,11.3,0.415,6.4,65
2007,187,6.37,89,39.3,9,4.82,88,0.7,13926,6.1,6.5,0.76,12.4,69.7
2014,278,0.01,67,47.9,64,4.26,73,0.7,7755785,1.3,1.3,0.511,10,62.7
2007,16,3.16,93,44.3,94,7.89,94,0.7,777972,2.4,2.3,0.59,10.9,73
2011,16,5.91,8,54.7,84,4.22,84,0.7,12795,3.3,3.2,0.703,13,73.1
2007,217,0.26,85,17.6,84,1.68,86,0.6,49171586,13.2,13.5,0.484,8.1,64.5
2008,225,0.28,88,2.8,87,4.94,88,0.6,1223957,1.8,1.7,0.435,7.1,62.8
2014,463,0.01,83,23.8,83,11.9,83,0.6,779162,7.5,7.4,0.426,9.5,48.1
2006,22,0.28,75,17,82,1.78,82,0.6,48846474,13.2,13.5,0.474,8,64.2
2013,136,3.79,93,52.7,86,5.91,93,0.6,285187,1.8,1.7,0.727,12.8,75.6
2014,268,0.01,91,18.8,91,4.96,91,0.6,17585977,8.2,7.7,0.398,7.7,59.3
2008,296,0.3,85,18.3,85,1.87,85,0.6,49479752,13.2,13.4,0.493,8.2,59.2
2009,211,0.28,91,19.1,9,2.5,9,0.6,49869,13.1,13.4,0.504,8.5,65.2
2013,219,0.01,97,22.7,97,3.83,97,0.6,764961,15.9,16.5,0.589,12.6,69.1
2004,267,0.81,71,15.4,74,4.89,78,0.6,1782997,8.2,8.1,0.466,8.7,64
2006,129,4.25,95,24.9,97,5.11,96,0.6,48795,8.3,8.3,0.596,11.9,72.1
2013,227,0.01,67,18.5,56,5.9,67,0.6,18426372,1,9.9,0.341,5.3,69
2011,139,3.58,92,51.2,93,5.21,92,0.6,2829493,1.8,1.7,0.722,12.8,75.2
2005,265,0.72,81,15.8,8,5.3,85,0.6,18336724,8.1,8,0.473,8.9,69
2006,263,0.68,82,16.3,83,5.11,85,0.6,1888268,8,7.9,0.478,9,61.4
2009,195,2.13,92,15.9,95,6.36,94,0.6,14928,11.1,11.4,0.52,10.5,66.1
2007,261,0.71,84,16.7,83,4.98,84,0.6,19433523,7.9,7.8,0.483,9.1,61.9
2007,181,7.24,96,45,97,4.76,96,0.6,29847,3.5,3.5,0.7,12.8,69.6
2006,199,4.52,84,51.8,84,6.22,84,0.6,5437,3.5,3.4,0.678,11.5,69.3
2014,234,0.01,77,17.2,75,4.88,77,0.6,97366774,1.5,1.3,0.435,8.4,64.2
2006,188,6.35,89,38.4,89,4.49,92,0.6,133144,6.2,6.6,0.751,12.3,69.6
2012,223,0.01,97,21.9,97,3.7,97,0.6,752967,16.1,16.7,0.581,12.3,68.7
2008,159,3.14,92,45.1,93,8.4,93,0.6,7872658,2.3,2.3,0.597,11.1,73.2
2009,142,3.33,9,49.7,9,5.16,9,0.6,28482,1.9,1.7,0.721,12.7,74.7
2003,189,6.14,96,2.9,98,3.58,98,0.6,64554952,9.1,9.3,0.666,11.8,71.7
2007,126,5.28,96,25.5,98,4.3,98,0.6,486438,8.1,8,0.602,11.9,72.3
2006,184,6.48,98,44.4,98,4.4,98,0.6,29747,3.6,3.5,0.692,12.3,69.4
2005,25,4.47,83,51.1,84,6.78,83,0.6,498946,3.5,3.4,0.672,11.3,68.9
2009,196,5.13,87,54.1,85,6.14,87,0.6,52619,3.5,3.4,0.696,12.1,70
2009,219,0.3,86,21.2,83,4.81,86,0.5,1255917,1.6,1.5,0.444,7.5,63.5
2005,224,0.28,62,16.4,86,1.83,73,0.5,48482614,13.2,13.6,0.465,7.9,63.9
2014,223,0.01,68,18.9,67,5.82,68,0.5,19148219,9.8,9.6,0.345,5.3,61.4
2003,231,0.4,8,15.2,86,1.97,78,0.5,47624894,13.3,13.6,0.445,7.7,63.2
2004,228,0.44,39,15.7,92,1.97,82,0.5,487377,13.3,13.6,0.455,7.8,63.5
2013,253,5.68,68,47.7,67,8.1,68,0.5,1431776,3.9,3.9,0.483,9.1,62.7
2014,245,0.01,48,48.8,55,7.56,48,0.5,1572466,3.9,3.9,0.487,9.1,63.1
2008,259,0.68,77,17.1,77,4.5,77,0.5,19996469,7.8,7.7,0.491,9.4,62.3
2011,198,5.69,96,27.7,96,5.44,96,0.5,1788,6,5.9,0.546,10.6,66.6
2012,194,0.01,96,28.5,96,8.6,96,0.5,182889,5.9,5.7,0.553,10.8,66.9
2013,233,0.01,98,2.1,98,7.69,98,0.5,1165151,5.9,5.9,0.485,10.8,65.2
2010,29,0.3,92,19.8,9,1.92,9,0.5,5155896,13.1,13.3,0.515,8.8,65.4
2011,27,0.33,4,2.5,9,1.87,84,0.5,555331,13,13.3,0.526,9.1,65.6
2012,138,3.65,96,52,96,5.66,96,0.5,284992,1.8,1.7,0.725,12.8,75.3
2012,25,0.55,58,21.3,87,2.22,84,0.5,5986514,13,13.2,0.533,9.1,65.9
2014,299,0.01,51,22.7,42,5.64,51,0.5,118559,7.5,7.4,0.412,8.6,58.1
2010,192,2.2,89,16.4,88,5.95,89,0.5,143874,11,11.3,0.519,10.6,66.6
2010,24,5.58,98,26.9,98,5.24,98,0.5,174776,6.1,6,0.542,10.6,66.2
2009,254,0.91,77,17.6,76,4.7,77,0.5,2569121,7.7,7.6,0.5,9.7,62.8
2010,248,1.03,7,18,7,4.86,7,0.5,2115164,7.6,7.5,0.503,10.2,63.3
2003,191,5.53,76,36,91,5.13,91,0.5,128452,6.4,6.9,0.729,12,69.3
2010,19,5.26,86,54.8,96,5.81,96,0.5,52613,3.5,3.4,0.7,12.3,73
2014,216,0.01,99,23.6,98,3.57,99,0.5,776448,15.7,16.2,0.596,12.5,69.4
2009,157,3.08,97,45.9,97,8.84,97,0.5,83521,2.3,2.2,0.603,11.3,73.4
2011,225,0.23,95,21.1,95,4.73,95,0.5,7451,16.3,17,0.572,11.9,68.3
2004,189,6.17,96,21.7,98,3.51,98,0.5,652231,9,9.2,0.674,11.9,71.6
2005,177,6.26,96,22.6,98,3.55,98,0.5,6542547,8.9,9.1,0.682,12,72.5
2010,138,3.55,94,5.5,94,5.3,94,0.5,281721,1.8,1.7,0.721,12.7,75
2014,133,3.83,92,53.5,93,5.36,92,0.5,286287,1.8,1.7,0.727,12.8,75.8
2006,168,6.18,96,23.6,98,3.49,98,0.5,65824164,8.7,8.9,0.686,12.4,73
2011,188,6.64,95,47.8,95,5.61,95,0.5,329192,3.5,3.4,0.7,12.4,69.4
2005,189,6.12,95,37.6,95,5.31,95,0.5,1296934,6.3,6.7,0.745,12.3,69.5
2010,212,0.28,89,21.7,76,4.62,89,0.4,12916229,1.4,1.3,0.449,7.7,64.3
2011,26,0.32,92,22.2,89,4.42,92,0.4,13391,1.2,1.1,0.455,7.9,64.9
2002,197,3.5,85,44.2,85,5.71,85,0.4,5171734,2.2,2.1,0.577,10.7,75
2014,23,0.01,98,2.8,98,7.53,98,0.4,11345357,5.8,5.8,0.488,10.8,65.7
2012,2,0.28,91,22.7,83,4.31,91,0.4,1373513,1,9.9,0.463,8.3,65.6
2000,192,3.61,83,42.8,85,5.39,83,0.4,526796,2.2,2.1,0.562,10.1,73
2001,193,3.51,87,43.5,89,5.26,87,0.4,5175,2.2,2.1,0.57,10.4,73
2002,24,2.97,81,47,81,7.9,81,0.4,59433,2,1.9,0.621,11.8,73
2008,145,3.51,92,48.9,91,5.4,91,0.4,279122,1.9,1.7,0.718,12.6,74.5
2011,153,3.1,97,47.6,97,8.57,97,0.4,83516,2.2,2.2,0.611,11.7,73.9
2003,152,4.5,65,47.4,95,4.6,94,0.4,26937738,1.3,1.3,0.686,13.3,72.1
2013,22,0.7,75,22.1,76,2.16,75,0.4,51448196,12.9,13.2,0.54,9.1,66.2
2005,28,2.35,87,43.8,87,6.79,87,0.4,139628,1.4,1.4,0.567,9.6,69.2
2010,221,7.52,95,42.4,95,6.6,95,0.4,746556,5.6,5.3,0.618,10.2,65.9
2012,235,0.87,7,19,71,3.46,7,0.4,22346573,7.4,7.3,0.506,10.2,64.3
2006,185,1.96,98,38.1,94,5.49,96,0.4,2648825,3.2,3.2,0.626,11.8,67.6
2011,241,0.97,73,18.5,73,4.24,73,0.4,21743949,7.5,7.4,0.504,10.2,63.8
2013,23,0.87,74,19.5,73,4.15,74,0.4,22961146,7.3,7.2,0.508,10.3,64.7
2011,176,6.5,9,43,91,5.6,9,0.4,1334788,5.9,6.2,0.774,12.6,76
2001,21,4.9,96,41.4,96,4.5,96,0.4,254984,3.7,3.7,0.677,11.8,68.2
2010,123,4.75,98,27.5,99,4.83,99,0.4,52384,7.4,7.4,0.627,12.7,72.5
2010,156,3.1,97,46.8,97,8.45,97,0.4,8194778,2.3,2.2,0.606,11.5,73.6
2013,15,3.11,97,49.3,97,9.15,97,0.4,8657785,2.2,2.1,0.614,11.6,74.3
2001,219,2.88,75,46.2,94,8.2,92,0.4,595962,2.1,2,0.615,11.6,68.9
2003,322,11.32,94,54.7,97,5.61,96,0.4,144648257,2.6,2.8,0.733,13.2,64.6
2009,124,4.45,98,26.8,99,4.24,99,0.4,496963,7.6,7.6,0.621,12.4,72.4
2006,24,2.38,89,44.5,9,7.7,89,0.4,133978,1.4,1.4,0.57,9.8,69.7
2000,218,2.79,99,45.3,98,8.17,99,0.4,5867626,2.1,2,0.607,11.3,69
2004,151,4.27,92,48.1,81,4.56,86,0.4,27273194,1.3,1.3,0.685,12.8,72.2
2008,124,4.16,98,26.2,99,3.96,99,0.4,491723,7.8,7.8,0.615,12.2,72.4
2012,151,3.11,97,48.4,97,9.78,97,0.4,855646,2.2,2.1,0.614,11.6,74.1
2007,192,2.4,85,45.2,85,6.86,85,0.4,137286,1.3,1.3,0.578,10.1,75
2005,148,4.44,94,48.8,66,4.72,77,0.4,276141,1.3,1.3,0.692,13,72.8
2010,196,2.14,94,47.2,94,6.64,94,0.4,1463417,1.3,1.3,0.602,10.5,77
2009,198,2.14,92,46.5,92,6.79,92,0.4,1431628,1.3,1.3,0.596,10.4,76
2006,134,4.22,94,49.5,94,4.47,94,0.4,27949944,1.2,1.2,0.693,13,74.2
2008,273,9.46,84,57.6,91,6.63,9,0.4,462582,2.5,2.6,0.73,14.9,67.7
2011,193,2.16,88,47.9,88,6.28,88,0.4,14948919,1.2,1.2,0.609,10.5,71.1
2008,19,2.21,95,45.9,96,6.65,95,0.4,146366,1.3,1.3,0.589,10.4,79
2012,189,2.02,96,48.6,94,6.33,96,0.4,1527156,1.2,1.2,0.616,10.6,71.3
2007,165,6.2,96,24.6,98,3.56,98,0.4,66195615,8.6,8.8,0.687,12.3,73.3
2011,229,7.56,93,43.2,93,6.8,93,0.4,7491,5.6,5.3,0.624,10.3,65.6
2013,189,1.93,85,49.3,84,6.3,85,0.4,15596214,1.2,1.2,0.611,10.7,71.4
2014,187,1.88,73,49.9,65,6.2,73,0.4,15923559,1.2,1.2,0.614,10.7,71.7
2012,174,5.93,74,55.8,85,4.26,85,0.4,115495,3.3,3.2,0.706,13.1,72.1
2013,179,6.02,86,57,86,5.96,86,0.4,54254,3.5,3.5,0.719,12.7,71.2
2014,178,6.32,85,57.7,85,5.69,85,0.4,547928,3.5,3.5,0.722,12.7,71.4
2010,179,6.5,9,42,91,5.29,9,0.4,13281,5.9,6.3,0.772,12.5,74
2012,174,6.7,92,44,91,5.78,92,0.4,1341588,5.9,6.1,0.772,12.6,78
2004,177,0.38,81,33,82,5.7,86,0.3,6712841,3.9,3.9,0.563,10.5,65.9
2007,181,0.35,84,34.7,85,5.35,86,0.3,7152385,3.8,3.8,0.586,10.9,66.1
2003,198,3.77,86,44.9,86,6.12,86,0.3,524879,2.1,2,0.583,11,76
2006,183,0.38,88,34.1,76,5.7,83,0.3,7557,3.8,3.9,0.579,10.7,65.9
2001,38,10.47,43,54.2,97,5.67,96,0.3,14597683,2.8,3,0.72,12.5,65.1
2005,211,1.27,8,13.5,65,4.28,65,0.3,1144118674,27.2,28.1,0.526,9.4,64.4
2014,217,7.64,98,45.9,97,5.25,98,0.3,763393,5.5,5.3,0.636,10.3,66
2008,178,0.32,86,35.3,87,5.58,86,0.3,739728,3.8,3.8,0.592,10.8,66.4
2011,122,5.07,9,28.2,9,4.6,9,0.3,5867,7.3,7.2,0.632,13.1,72.6
2007,26,1.59,6,14.4,67,4.23,64,0.3,1179681239,27.1,28,0.546,9.9,65.2
2014,225,0.01,73,2,73,3.4,73,0.3,2358981,7.2,7.1,0.509,10.3,65.1
2012,186,0.01,86,17.6,84,6.24,86,0.3,14776866,11,11.2,0.54,10.7,67.4
2007,184,2.15,99,38.7,98,5.81,96,0.3,26868,3.1,3.1,0.631,11.8,67.8
2002,193,0.6,39,32.1,84,4.48,85,0.3,6447688,4,4,0.543,9.8,64.3
2007,282,12.19,98,56.1,98,5.38,98,0.3,1428588,2.4,2.6,0.761,13.8,67.3
2013,196,0.26,92,23.2,89,4.51,92,0.3,141232,9.9,9.7,0.474,8.7,66
2006,3,11.79,98,55.7,98,5.3,98,0.3,14349528,2.4,2.7,0.754,13.8,66.4
2014,192,0.26,89,23.8,85,4.66,89,0.3,14546111,9.7,9.5,0.483,9.1,66.4
2003,182,0.36,58,32.5,82,4.46,85,0.3,6576877,4,4,0.553,10.1,65.2
2008,184,2.36,91,39.3,98,5.92,98,0.3,27328,3.1,3.1,0.644,11.9,67.9
2001,158,4.13,69,44.3,9,3.86,89,0.3,12852755,1.6,1.5,0.67,12.4,73.4
2004,148,3.65,88,46.5,9,6.22,88,0.3,1359647,1.5,1.3,0.682,12.7,74.4
2005,151,3.54,92,47.2,89,5.87,92,0.3,13735233,1.4,1.3,0.688,12.8,74.2
2003,151,3.69,82,45.8,97,6.46,87,0.3,1328961,1.5,1.4,0.679,12.6,74.4
2006,144,3.52,96,47.9,92,5.86,96,0.3,1396748,1.4,1.3,0.693,12.8,74.4
2005,194,0.37,81,33.5,79,5.89,84,0.3,6854176,3.8,3.9,0.572,10.6,65.5
2006,17,3.69,88,47.1,88,6.33,88,0.3,545211,2,1.9,0.597,11,73
2013,181,0.09,85,25.6,86,2.93,85,0.3,25232263,1.5,1.3,0.677,12.9,68.7
2004,214,1.2,6,13,58,4.22,63,0.3,1126135777,27.2,28.2,0.518,9.2,64
